# b
3.000
#years
1970 1988
#ages
0	9
#Weight at age (year,age)
0.045	1.024	2.335	4.154	4.433	7.143	7.531	9.308	8.378	7.109
0.029	0.748	2.979	4.148	5.881	5.539	8.279	8.321	9.967	8.783
0.068	0.478	2.322	5.527	6.046	7.497	6.509	9.236	8.970	10.498
0.042	1.121	1.490	4.381	8.207	7.832	8.922	7.331	10.026	9.496
0.060	0.695	2.436	2.225	5.585	9.608	8.706	9.592	7.707	10.381
0.050	0.993	2.398	4.431	3.121	6.897	11.038	9.564	10.232	8.060
0.049	0.818	3.045	4.578	6.485	3.946	8.028	12.222	10.255	10.739
0.037	0.804	2.597	5.810	6.940	8.473	4.694	9.014	13.227	10.832
0.028	0.604	1.933	4.144	7.744	8.416	9.638	5.115	9.554	13.768
0.035	0.454	1.970	3.514	5.885	9.688	9.807	10.691	5.486	10.021
0.053	0.580	1.178	3.321	4.770	7.122	10.983	10.697	11.348	5.713
0.037	0.874	2.067	2.327	5.044	6.202	8.444	12.312	11.586	11.993
0.043	0.605	2.267	3.536	3.240	6.268	7.155	9.289	13.138	12.130
0.047	0.709	1.625	3.721	4.769	3.925	7.127	7.798	9.844	13.673
0.029	0.778	1.760	2.562	4.795	5.582	4.348	7.638	8.171	10.160
0.038	0.480	3.308	3.878	4.080	6.350	6.686	4.900	8.286	8.635
0.040	0.627	1.290	5.952	5.657	5.220	7.444	7.432	5.263	8.706
0.043	0.665	1.796	2.225	8.404	7.133	6.105	8.260	7.974	5.522
0.042	0.715	1.898	3.138	3.088	10.429	8.274	6.763	8.851	8.359
#Std in weight at age (year,age)
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14
